Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement,Age_status,Salary_status,Gender_status,Department_status,Position_status,Joining Date_status,Performance Score_status,Employee Statement_status,Salary_validated,Gender_validated,Position_validated,Joining Date_validated,Performance Score_validated,Department_validated,Age_validated,Employee Statement_validated,,
40,70000,Other,Marketing,Director,15/01/2020,B,"I feel motivated in my role, after understanding expectations more clearly, while adapting to daily routines.",0,0,6,6,0,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,50000,Other,Finance,Manager,05/04/2018,A,"I feel motivated in my role, after understanding expectations more clearly, through regular collaboration.",6,6,0,6,0,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,70000,Male,Sales,Clerk,15/01/2020,B,"I feel motivated in my role, after understanding expectations more clearly, while working on assigned tasks.",0,0,0,0,0,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,65000,Other,Marketing,Manager,15/01/2020,D,MA,6,0,6,6,0,6,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,55000,Female,Marketing,Manager,15/01/2020,C,"I feel motivated in my role, as I learned to handle feedback constructively, as I settled into my responsibilities.",0,6,6,6,6,0,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,70000,Female,IT,Director,25/03/2019,A,"I feel motivated in my role, as I learned to handle feedback constructively, while adapting to daily routines.",6,0,6,6,0,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,NULL,Male,HR,Director,25/03/2019,D,"I feel motivated in my role, through practice and repetition, during ongoing work cycles.",0,5,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,65000,Male,Finance,Director,05/04/2018,D,"I feel motivated in my role, through practice and repetition, while handling routine duties.",6,6,6,0,0,6,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,70000,Female,Marketing,Manager,01/12/2019,D,"I feel motivated in my role, through practice and repetition, as part of my regular workflow.",5,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,60000,Other,IT,Clerk,15/01/2020,F,"I feel motivated in my role, by paying closer attention to details, while working on assigned tasks.",0,0,0,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,70000,Other,Marketing,Analyst,25/03/2019,B,"I feel motivated in my role, by paying closer attention to details, as part of normal operations.",6,6,0,0,0,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,50000,Other,IT,Director,01/12/2019,F,"I find my daily tasks engaging, after understanding expectations more clearly, during ongoing work cycles.",6,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,50000,Female,Sales,Assistant,01/12/2019,A,"I find my daily tasks engaging, after understanding expectations more clearly, while handling routine duties.",6,6,6,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,60000,Male,HR,Clerk,20/02/2020,B,MA,6,6,6,6,0,0,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,60000,Male,Sales,Director,25/03/2019,B,"I find my daily tasks engaging, through experience working with different people, through regular collaboration.",0,6,6,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,NULL,Male,HR,Director,20/02/2020,D,"I find my daily tasks engaging, through experience working with different people, while working on assigned tasks.",0,5,6,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,65000,Male,Finance,Manager,15/01/2020,D,"I find my daily tasks engaging, by becoming more aware of priorities, through regular collaboration.",6,0,0,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,70000,Female,HR,Analyst,15/01/2020,A,"I find my daily tasks engaging, by becoming more aware of priorities, while working on assigned tasks.",6,0,6,0,6,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,55000,Other,HR,Clerk,20/02/2020,F,"I am developing stronger work habits, through practice and repetition, as part of my regular workflow.",5,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,60000,Female,Finance,Director,20/02/2020,D,"I am developing stronger work habits, as I improved my time management, over the past months.",0,0,0,0,0,6,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
