Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement,Age_status,Salary_status,Gender_status,Department_status,Position_status,Joining Date_status,Performance Score_status,Employee Statement_status,Salary_validated,Gender_validated,Position_validated,Joining Date_validated,Performance Score_validated,Department_validated,Age_validated,Employee Statement_validated
25,50000,Male,HR,Manager,05-Apr-18,D,"I feel motivated in my role, because I have learned to communicate more clearly with my team, over the past months.",0,0,6,6,6,0,0,0,,,,,,,,
,65000,Female,Finance,Director,2/20/2020,F,"I feel motivated in my role, because I have learned to communicate more clearly with my team, during my time in this role.",5,0,0,0,6,0,0,0,,,,,,,,
35,SIXTY THOUSAND,Female,Sales,Director,1/15/2020,C,"I feel motivated in my role, because I have learned to communicate more clearly with my team, as I settled into my responsibilities.",0,6,6,0,6,6,6,0,,,,,,,,
Female IT Manager salary 50000 joining date 5-Apr-18 performance A,50000,Female,IT,Manager,05-Apr-18,A,"I feel motivated in my role, because I have learned to communicate more clearly with my team, while adapting to daily routines.",1,0,0,0,0,0,0,0,,,,,,,,
, NAN ,Female,Finance,Manager,1/15/2020,F,"I feel motivated in my role, because I have learned to communicate more clearly with my team, through regular collaboration.",5,5,0,0,0,0,0,0,,,,,,,,
,65000,Other,Marketing,Director,3/25/2019,F,"I feel motivated in my role, because I have learned to communicate more clearly with my team, while working on assigned tasks.",5,0,0,0,0,0,0,0,,,,,,,,
,50000,Male,Marketing,Clerk,2019.12.01,B,"I feel motivated in my role, because I have learned to communicate more clearly with my team, as part of normal operations.",5,0,0,0,0,0,0,0,,,,,,,,
40,50000,Other,HR,Director,3/25/2019,C,"I feel motivated in my role, because I have learned to communicate more clearly with my team, during ongoing work cycles.",0,0,6,6,0,0,0,0,,,,,,,,
40,SIXTY THOUSAND,Female,Marketing,Manager,1/15/2020,C,"I feel motivated in my role, because I have learned to communicate more clearly with my team, while handling routine duties.",0,0,6,6,0,0,0,0,,,,,,,,
thirty, NAN ,Other,Finance,Assistant,2/20/2020,A,"I feel motivated in my role, because I have learned to communicate more clearly with my team, as part of my regular workflow.",6,5,6,0,0,0,6,0,,,,,,,,
25,70000,Male,Marketing,Analyst,2019.12.01,B,MA,0,6,0,6,6,0,0,7,,,,,,,,
,70000,Other,Finance,Assistant,3/25/2019,A,"I feel motivated in my role, as I became better at organizing my tasks, during my time in this role.",5,0,0,0,0,0,0,0,,,,,,,,
thirty,50000,Male,IT,Assistant,05-Apr-18,D,"I feel motivated in my role, as I became better at organizing my tasks, as I settled into my responsibilities.",0,6,6,0,6,0,6,0,,,,,,,,
25,55000,Other,HR,Manager,2/20/2020,F,"I feel motivated in my role, as I became better at organizing my tasks, while adapting to daily routines.",6,0,6,6,0,0,6,0,,,,,,,,
50, NAN ,Male,Marketing,Director,3/25/2019,A,"I feel motivated in my role, as I became better at organizing my tasks, through regular collaboration.",0,5,6,6,0,6,0,0,,,,,,,,
35,65000,Male,Finance,Clerk,05-Apr-18,F,"I feel motivated in my role, as I became better at organizing my tasks, while working on assigned tasks.",6,6,0,6,0,0,0,0,,,,,,,,
40,55000,Female,Sales,Assistant,1/15/2020,B,"I feel motivated in my role, as I became better at organizing my tasks, as part of normal operations.",0,0,6,6,0,0,0,0,,,,,,,,
50,55000,Male,HR,Director,05-Apr-18,D,"I feel motivated in my role, as I became better at organizing my tasks, during ongoing work cycles.",0,6,6,0,0,0,0,0,,,,,,,,
25, NAN ,Female,IT,Clerk,3/25/2019,B,"I feel motivated in my role, as I became better at organizing my tasks, while handling routine duties.",0,5,0,6,0,6,6,0,,,,,,,,
50,50000,Female,Finance,Assistant,3/25/2019,D,"I feel motivated in my role, as I became better at organizing my tasks, as part of my regular workflow.",0,0,6,6,0,0,0,0,,,,,,,,
35,50000,Female,IT,Clerk,1/15/2020,D,"I feel motivated in my role, after understanding expectations more clearly, over the past months.",6,6,6,0,0,6,0,0,,,,,,,,
25,50000,Other,IT,Director,05-Apr-18,F,"I feel motivated in my role, after understanding expectations more clearly, during my time in this role.",6,0,6,6,0,6,6,0,,,,,,,,
50,50000,Other,Marketing,Analyst,05-Apr-18,B,"I feel motivated in my role, after understanding expectations more clearly, as I settled into my responsibilities.",0,6,0,0,0,6,0,0,,,,,,,,
40,70000,Other,Marketing,Director,1/15/2020,B,"I feel motivated in my role, after understanding expectations more clearly, while adapting to daily routines.",0,0,6,6,0,6,0,0,,,,,,,,
40,50000,Other,Finance,Manager,05-Apr-18,A,"I feel motivated in my role, after understanding expectations more clearly, through regular collaboration.",6,6,0,6,0,6,0,0,,,,,,,,
thirty,70000,Male,Sales,Clerk,1/15/2020,B,"I feel motivated in my role, after understanding expectations more clearly, while working on assigned tasks.",0,0,0,0,0,6,0,0,,,,,,,,
50,70000,Male,Finance,Analyst,2/20/2020,A,"I feel motivated in my role, after understanding expectations more clearly, as part of normal operations.",6,6,6,0,0,0,0,0,,,,,,,,
,50000,Other,Sales,Clerk,3/25/2019,C,"I feel motivated in my role, after understanding expectations more clearly, during ongoing work cycles.",5,0,0,0,0,0,0,0,,,,,,,,
50,SIXTY THOUSAND,Male,IT,Clerk,2/20/2020,C,"I feel motivated in my role, after understanding expectations more clearly, while handling routine duties.",6,6,0,0,0,0,0,0,,,,,,,,
25,65000,Male,HR,Assistant,2019.12.01,C,"I feel motivated in my role, after understanding expectations more clearly, as part of my regular workflow.",0,0,6,6,0,0,0,0,,,,,,,,
25,55000,Female,Finance,Manager,2019.12.01,B,"I feel motivated in my role, by improving how I plan my work, over the past months.",0,6,6,6,0,6,0,0,,,,,,,,
50,70000,Female,Finance,Clerk,2019.12.01,B,"I feel motivated in my role, by improving how I plan my work, during my time in this role.",0,6,6,0,0,6,0,0,,,,,,,,
35, NAN ,Female,Sales,Director,1/15/2020,A,"I feel motivated in my role, by improving how I plan my work, as I settled into my responsibilities.",0,5,0,0,0,6,0,0,,,,,,,,
40, NAN ,Female,IT,Director,05-Apr-18,D,"I feel motivated in my role, by improving how I plan my work, while adapting to daily routines.",6,5,6,0,0,0,0,0,,,,,,,,
25,65000,Male,IT,Assistant,2/20/2020,A,"I feel motivated in my role, by improving how I plan my work, through regular collaboration.",6,6,6,0,0,0,0,0,,,,,,,,
40, NAN ,Other,Sales,Manager,2/20/2020,C,"I feel motivated in my role, by improving how I plan my work, while working on assigned tasks.",0,5,6,0,0,0,0,0,,,,,,,,
25,SIXTY THOUSAND,Male,IT,Manager,2/20/2020,A,"I feel motivated in my role, by improving how I plan my work, as part of normal operations.",6,0,6,0,0,6,0,0,,,,,,,,
thirty, NAN ,Male,Marketing,Director,2/20/2020,D,"I feel motivated in my role, by improving how I plan my work, during ongoing work cycles.",0,5,0,0,0,6,6,0,,,,,,,,
,55000,Male,HR,Analyst,2019.12.01,B,"I feel motivated in my role, by improving how I plan my work, while handling routine duties.",5,0,0,0,0,0,0,0,,,,,,,,
25,55000,Female,Finance,Assistant,2/20/2020,A,"I feel motivated in my role, by improving how I plan my work, as part of my regular workflow.",0,0,0,6,0,0,0,0,,,,,,,,
25,70000,Female,HR,Assistant,05-Apr-18,C,"I feel motivated in my role, through experience working with different people, over the past months.",7,6,6,6,0,0,6,0,,,,,,,,
thirty,50000,Female,Finance,Director,2019.12.01,C,"I feel motivated in my role, through experience working with different people, during my time in this role.",6,0,6,6,6,6,0,0,,,,,,,,
25,SIXTY THOUSAND,Other,Marketing,Director,2/20/2020,B,"I feel motivated in my role, through experience working with different people, as I settled into my responsibilities.",0,0,6,6,0,0,0,0,,,,,,,,
35,70000,Male,IT,Analyst,1/15/2020,A,"I feel motivated in my role, through experience working with different people, while adapting to daily routines.",6,6,6,0,0,6,0,0,,,,,,,,
,SIXTY THOUSAND,Other,Sales,Analyst,3/25/2019,D,"I feel motivated in my role, through experience working with different people, through regular collaboration.",5,0,0,0,0,0,0,0,,,,,,,,
25,50000,Female,Marketing,Manager,3/25/2019,B,"I feel motivated in my role, through experience working with different people, while working on assigned tasks.",0,6,6,6,0,6,0,0,,,,,,,,
thirty, NAN ,Other,HR,Assistant,3/25/2019,A,"I feel motivated in my role, through experience working with different people, as part of normal operations.",0,5,0,6,0,0,0,0,,,,,,,,
35, NAN ,Male,Sales,Assistant,2019.12.01,F,"I feel motivated in my role, through experience working with different people, during ongoing work cycles.",0,5,6,6,6,0,0,0,,,,,,,,
50,50000,Male,IT,Director,2/20/2020,C,"I feel motivated in my role, through experience working with different people, while handling routine duties.",6,6,0,6,0,6,0,0,,,,,,,,
thirty,70000,Female,Marketing,Manager,2019.12.01,D,"I feel motivated in my role, through experience working with different people, as part of my regular workflow.",6,0,6,6,0,0,6,0,,,,,,,,
thirty,50000,Female,Sales,Assistant,05-Apr-18,D,"I feel motivated in my role, as I learned to handle feedback constructively, over the past months.",0,6,0,6,0,6,6,0,,,,,,,,
35,65000,Other,Marketing,Manager,1/15/2020,D,MA,6,0,6,6,0,6,0,7,,,,,,,,
thirty,55000,Female,Marketing,Manager,1/15/2020,C,"I feel motivated in my role, as I learned to handle feedback constructively, as I settled into my responsibilities.",0,6,6,6,6,0,6,0,,,,,,,,
35,70000,Female,IT,Director,3/25/2019,A,"I feel motivated in my role, as I learned to handle feedback constructively, while adapting to daily routines.",6,0,6,6,0,6,0,0,,,,,,,,
